year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
1827,1.0421052631578946,3,96.84210526315789,2.1052631578947367,1.0526315789473684,0.0,0.0,95,58,100.0
1828,1.0476190476190477,2,95.23809523809524,4.761904761904762,0.0,0.0,0.0,84,48,95.45454545454545
1829,1.0,1,100.0,0.0,0.0,0.0,0.0,102,63,100.0
1830,1.0198675496688743,2,98.01324503311258,1.9867549668874172,0.0,0.0,0.0,151,78,100.0
1831,1.0188679245283019,2,98.11320754716981,1.8867924528301887,0.0,0.0,0.0,106,58,94.44444444444444
1832,1.0,1,100.0,0.0,0.0,0.0,0.0,125,71,100.0
1833,1.0462962962962963,2,95.37037037037037,4.62962962962963,0.0,0.0,0.0,108,66,86.36363636363636
1834,1.0568181818181819,2,94.31818181818181,5.681818181818182,0.0,0.0,0.0,88,58,71.42857142857143
1835,1.0375,2,96.25,3.75,0.0,0.0,0.0,160,75,93.33333333333333
1836,1.0551181102362204,4,96.06299212598425,3.1496062992125986,0.0,0.7874015748031497,0.0,127,81,100.0
1837,1.0326086956521738,2,96.73913043478261,3.260869565217391,0.0,0.0,0.0,92,60,100.0
1838,1.0568181818181819,3,95.45454545454545,3.409090909090909,1.1363636363636365,0.0,0.0,88,55,97.72727272727273
1839,1.0404040404040404,2,95.95959595959596,4.040404040404041,0.0,0.0,0.0,99,58,100.0
1840,1.0327868852459017,3,97.54098360655738,1.639344262295082,0.819672131147541,0.0,0.0,122,72,100.0
1841,1.010204081632653,2,98.9795918367347,1.0204081632653061,0.0,0.0,0.0,98,50,100.0
1842,1.018348623853211,2,98.1651376146789,1.834862385321101,0.0,0.0,0.0,109,56,100.0
1843,1.0413793103448277,2,95.86206896551724,4.137931034482759,0.0,0.0,0.0,145,88,91.74311926605505
1844,1.072538860103627,2,92.74611398963731,7.253886010362694,0.0,0.0,0.0,193,81,99.75429975429975
1845,1.0727272727272728,3,94.0909090909091,4.545454545454546,1.3636363636363635,0.0,0.0,220,99,100.0
1846,1.014354066985646,2,98.56459330143541,1.4354066985645932,0.0,0.0,0.0,209,82,99.16666666666667
1847,1.029739776951673,2,97.02602230483271,2.973977695167286,0.0,0.0,0.0,269,112,100.0
1848,1.0549019607843138,6,96.07843137254902,3.5294117647058822,0.0,0.0,0.39215686274509803,255,132,93.4065934065934
1849,1.0181159420289856,2,98.18840579710145,1.8115942028985508,0.0,0.0,0.0,276,110,100.0
1850,1.0666666666666667,3,93.96825396825396,5.396825396825397,0.6349206349206349,0.0,0.0,315,142,97.53086419753086
1851,1.0731707317073171,2,92.6829268292683,7.317073170731708,0.0,0.0,0.0,246,114,100.0
1852,1.0446927374301676,2,95.53072625698324,4.4692737430167595,0.0,0.0,0.0,179,100,96.92307692307692
1853,1.017751479289941,2,98.22485207100591,1.7751479289940828,0.0,0.0,0.0,169,91,100.0
1854,1.0545454545454545,3,95.15151515151516,4.242424242424242,0.6060606060606061,0.0,0.0,165,103,96.29629629629629
1855,1.0464135021097047,3,96.20253164556962,2.9535864978902953,0.8438818565400844,0.0,0.0,237,122,98.66666666666667
1856,1.080267558528428,4,94.98327759197325,3.0100334448160537,1.0033444816053512,1.0033444816053512,0.0,299,133,99.01960784313725
1857,1.1532467532467532,41,95.32467532467533,3.896103896103896,0.5194805194805194,0.0,0.2597402597402597,385,179,93.63636363636364
1858,1.0476190476190477,3,95.53571428571429,4.166666666666667,0.2976190476190476,0.0,0.0,336,157,100.0
1859,1.0579710144927537,3,94.56521739130434,5.072463768115942,0.36231884057971014,0.0,0.0,276,149,100.0
1860,1.088235294117647,10,94.11764705882354,5.228758169934641,0.32679738562091504,0.0,0.32679738562091504,306,168,99.09909909909909
1861,1.0925925925925926,4,92.5925925925926,5.864197530864198,1.2345679012345678,0.30864197530864196,0.0,324,164,98.71794871794872
1862,1.0473537604456824,3,95.54317548746518,4.178272980501393,0.2785515320334262,0.0,0.0,359,161,97.24770642201835
1863,1.045045045045045,3,96.3963963963964,2.7027027027027026,0.9009009009009009,0.0,0.0,333,154,96.51162790697674
1864,1.0226244343891402,2,97.73755656108597,2.262443438914027,0.0,0.0,0.0,221,119,100.0
1865,1.1122112211221122,3,90.0990099009901,8.58085808580858,1.3201320132013201,0.0,0.0,303,146,99.08256880733946
1866,1.0736040609137056,3,94.16243654822335,4.314720812182741,1.5228426395939085,0.0,0.0,394,170,98.22064056939502
1867,1.0886850152905199,3,92.66055045871559,5.81039755351682,1.529051987767584,0.0,0.0,327,178,96.96969696969697
1868,1.0738255033557047,3,93.95973154362416,4.697986577181208,1.342281879194631,0.0,0.0,298,160,98.31932773109244
